project,commit_hash,commit_msg,file_changed,sentiment_score,subjectivity_score,bug_fix_commit
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",ChangeLog,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",NEWS,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",README.txt,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",ant/build-swt.xml,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",ant/build.xml,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",checkstyle/javadocs.xml,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",checkstyle/lines.xml,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",checkstyle/properties.txt,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",checkstyle/style.xml,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",checkstyle/whitespace.xml,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/annotations/XYTitleAnnotation.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/annotations/junit/XYTitleAnnotationTests.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/axis/LogAxis.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/demo/DialDemo1.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/demo/DialDemo2.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/demo/DialDemo3.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/demo/DialDemo4.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/demo/DialDemo5.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/demo/LogAxisDemo1.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/demo/XYTitleAnnotationDemo1.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/AbstractDialLayer.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/DialBackground.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/DialCap.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/DialFrame.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/DialLayer.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/DialLayerChangeEvent.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/DialLayerChangeListener.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/DialPlot.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/DialPointer.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/DialScale.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/DialTextAnnotation.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/DialValueIndicator.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/SimpleDialFrame.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/StandardDialFrame.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/StandardDialRange.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/StandardDialScale.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/junit/DialBackgroundTests.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/junit/DialCapTests.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/junit/DialPackageTests.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/junit/DialPlotTests.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/junit/DialPointerTests.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/junit/DialTextAnnotationTests.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/junit/DialValueIndicatorTests.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/junit/SimpleDialFrameTests.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/junit/StandardDialFrameTests.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/junit/StandardDialRangeTests.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/plot/dial/junit/StandardDialScaleTests.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/renderer/xy/XYSmoothLineAndShapeRenderer.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",experimental/org/jfree/experimental/chart/util/XYCoordinateType.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",lib/gnujaxp.jar,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",lib/itext-2.0.2.jar,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",lib/jcommon-1.0.10.jar,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",lib/junit.jar,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",lib/servlet.jar,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",licence-LGPL.txt,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",maven-jfreechart-project.xml,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/ChartColor.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/ChartFactory.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/ChartFrame.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/ChartMouseEvent.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/ChartMouseListener.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/ChartPanel.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/ChartRenderingInfo.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/ChartUtilities.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/ClipPath.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/DrawableLegendItem.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/Effect3D.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/HashUtilities.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/JFreeChart.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/LegendItem.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/LegendItemCollection.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/LegendItemSource.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/LegendRenderingOrder.java,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/LocalizationBundle.properties,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/LocalizationBundle_de.properties,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/LocalizationBundle_es.properties,0.0,0.0,False
Chart,86f462482a429746ff48f01732ae432b65215487,"Initial import of JFreeChart 1.0.6 sources.",source/org/jfree/chart/LocalizationBundle_fr.properties,0.0,0.0,False
